Title,Runtime,Released,Country,Director,Writer,Actors,Genre,Ratings,Awards,productionBudget,domesticGross,worldwideGross,openingWeekendGross
Project Almanac,106,2015/01/30,United States,Dean Israelite,"Jason Pagan, Andrew Deutschman","Amy Landecker, Sofia Black-D'Elia, Virginia Gardner","Drama, Mystery, Sci-Fi","Internet Movie Database:6.4, Rotten Tomatoes:3.8, Metacritic:4.7",,12000000,22348241,33213241,8310252
Anything for Alice,99,2014/01/22,France,Nicolas Cuche,"Sabrina Amara, Eric Jehelmann, Laurent Turner","Max Boublil, Aïssa Maïga, Patrick Timsit","Comedy, Romance",Internet Movie Database:5.4,1 win,18000000,1092,3387582,738
Taken 3,108,2015/01/09,France,Olivier Megaton,"Luc Besson, Robert Mark Kamen","Liam Neeson, Forest Whitaker, Maggie Grace","Action, Crime, Thriller","Internet Movie Database:6.0, Rotten Tomatoes:1.3, Metacritic:2.6",3 wins & 3 nominations total,48000000,89256424,326479141,39201657
Joy,124,2015/12/25,United States,David O. Russell,"David O. Russell, Annie Mumolo","Jennifer Lawrence, Robert De Niro, Bradley Cooper","Biography, Drama","Internet Movie Database:6.6, Rotten Tomatoes:6.1, Metacritic:5.6",Nominated for 1 Oscar. 8 wins & 23 nominations total,60000000,56451232,101134059,17015168
The Peanuts Movie,88,2015/11/06,United States,Steve Martino,"Craig Schulz, Bryan Schulz, Cornelius Uliano","Noah Schnapp, Bill Melendez, Hadley Belle Miller","Animation, Adventure, Comedy","Internet Movie Database:7.0, Rotten Tomatoes:8.7, Metacritic:6.7",2 wins & 49 nominations total,99000000,130178411,246233113,44213073
Respect,145,2021/08/13,United States,Liesl Tommy,"Tracey Scott Wilson, Callie Khouri","Jennifer Hudson, Forest Whitaker, Marlon Wayans","Biography, Drama, Music","Internet Movie Database:6.6, Rotten Tomatoes:6.8, Metacritic:6.1",5 wins & 40 nominations total,55000000,24278399,32882823,8807513
Isn't It Romantic,89,2019/02/13,United States,Todd Strauss-Schulson,"Erin Cardillo, Dana Fox, Katie Silberman","Rebel Wilson, Liam Hemsworth, Adam Devine","Comedy, Fantasy, Musical","Internet Movie Database:5.9, Rotten Tomatoes:7.0, Metacritic:6.0",1 win & 10 nominations total,31000000,48791187,48791187,14247758
Afraid,84,2024/08/30,United States,Chris Weitz,Chris Weitz,"John Cho, Katherine Waterston, Keith Carradine","Horror, Mystery, Sci-Fi","Internet Movie Database:5.2, Rotten Tomatoes:2.5, Metacritic:2.8",,12000000,6725687,12977758,3665664
Bears,78,2014/04/18,United States,Alastair Fothergill,"Alastair Fothergill, Adam Chapman, Pamela Ribon",John C. Reilly,"Documentary, Family","Internet Movie Database:7.3, Rotten Tomatoes:8.8, Metacritic:6.8",2 nominations total,5000000,17780194,21316745,4776267
Evangelion: 3.0+1.01 Thrice Upon a Time,155,2021/08/13,Japan,Mahiro Maeda,Hideaki Anno,"Megumi Ogata, Megumi Hayashibara, Yûko Miyamura","Animation, Action, Drama","Internet Movie Database:8.0, Rotten Tomatoes:10.0, Metacritic:8.5",4 wins & 4 nominations total,3260000000,810744,93882453,320631
Mi America,90,2015/10/16,United States,Robert Fontaine,Robert Fontaine,"Robert Fontaine, Michael Brainard, Grant Boyd","Crime, Drama","Internet Movie Database:6.8, Rotten Tomatoes:5.0",,2100000,3330,3330,3330
Masterminds,95,2016/09/30,United States,Jared Hess,"Chris Bowman, Hubbel Palmer, Emily Spivey","Zach Galifianakis, Owen Wilson, Kristen Wiig","Biography, Comedy, Crime","Internet Movie Database:5.8, Rotten Tomatoes:3.4, Metacritic:4.7",1 nomination total,25000000,17368022,29674699,6541205
